Subject,Channel,Delta,Theta,Alpha,Beta,Gamma
sub-021,16,2.8419717831803365e-10,3.4687729210885276e-11,1.2754153102245149e-11,1.6335755098349384e-11,7.832996207979669e-12
sub-021,17,2.7893778690417647e-10,3.412452656184193e-11,1.4408517708285111e-11,1.934209513247893e-11,1.039685979589294e-11
sub-021,18,3.225841077730413e-10,3.995620536912967e-11,1.4983186358246592e-11,1.992949934332291e-11,9.732244530574844e-12
sub-021,9,2.7606118053518566e-10,3.275507450185014e-11,1.0087910690528066e-11,1.2507535292610676e-11,4.378123247817417e-12
sub-021,2,2.7452831672268616e-10,2.8757502678840467e-11,8.527336376282812e-12,1.0483823867066863e-11,2.7933640581504832e-12
sub-021,14,2.781836911079383e-10,2.9933548377313635e-11,9.145732689230932e-12,1.18429673527196e-11,3.928845260716202e-12
sub-022,7,6.467460374732268e-10,5.1014188946677296e-11,1.5381675960831774e-11,2.2936528596300157e-11,8.613278655255257e-12
sub-022,8,7.016334552635054e-10,5.047889446462935e-11,1.6000823509530287e-11,2.247798024305582e-11,8.335287676002751e-12
sub-022,3,3.126251903510776e-10,4.531196576079952e-11,1.4190269738368709e-11,2.058464080097257e-11,8.284772448582556e-12
sub-022,4,3.6892469362724056e-10,5.825910468357681e-11,1.813992972692416e-11,2.3348284917339002e-11,8.259795235774748e-12
sub-022,0,2.7424717084772516e-10,3.816911954576861e-11,1.1455630083323134e-11,1.498795747510523e-11,4.951979688469637e-12
sub-022,1,2.8132359802581226e-10,3.8190266623245176e-11,1.1603930667485431e-11,1.5181116855641058e-11,5.019840870501122e-12
sub-022,12,2.9031799707459415e-10,4.800440963221361e-11,1.6787367490675952e-11,1.5561359141732398e-11,4.561801399458544e-12
sub-022,13,3.0313993081277355e-10,4.411568434825328e-11,1.4851804536929686e-11,1.4538219923107646e-11,3.942658708567832e-12
sub-022,10,3.4270929038638133e-10,6.518738265434624e-11,2.925417863816936e-11,1.834819561432349e-11,5.437956594630042e-12
sub-022,11,3.637477435459963e-10,5.4620430454800894e-11,1.9841697354512734e-11,1.7926948300486378e-11,4.988887453870757e-12
sub-022,5,3.3478137249427107e-10,5.007996518623842e-11,1.618818245091866e-11,4.1533751207201207e-11,2.989009070857733e-11
sub-022,6,2.1281227922695364e-09,1.1905263053107364e-09,6.850548906299156e-10,4.5150599591217747e-10,4.4148868508717856e-10
sub-022,15,3.0571943466233456e-10,4.741444663883663e-11,1.5386159144932768e-11,1.8026257915637917e-11,6.439480022015426e-12
sub-022,16,3.2412030958794034e-10,4.779695110810681e-11,1.608845723694033e-11,1.915749533308089e-11,9.153108417481066e-12
sub-022,17,3.3800382351478956e-10,6.939503160765812e-11,3.3408443003717676e-11,1.972026866485297e-11,5.972320270675772e-12
sub-022,18,3.336237947839779e-10,5.2246123910445775e-11,1.9361109318798215e-11,1.6834823284702513e-11,4.942049546680112e-12
sub-022,9,3.031967880414302e-10,4.2985795269156216e-11,1.3456390684146224e-11,1.6276414057340217e-11,4.239292496922162e-12
sub-022,2,2.7505168547444397e-10,3.987915386339909e-11,1.2934752657404772e-11,1.6150551515206955e-11,3.651414418007874e-12
sub-022,14,3.4338736548402767e-10,5.2907021481727035e-11,1.812807857690416e-11,1.9543077173219127e-11,5.522280720541029e-12
sub-023,7,1.1975228840152691e-09,2.2127635359836164e-10,6.231153508330994e-11,8.197228998038657e-11,2.115025818041088e-11
sub-023,8,1.1817437827176611e-09,2.2065586139590958e-10,6.248761736755344e-11,7.880171028110863e-11,2.2128213663170748e-11
sub-023,3,1.0300596679138071e-09,2.05424056638706e-10,5.991849898228805e-11,7.315787389527419e-11,1.7726629393620304e-11
sub-023,4,1.008107476389013e-09,1.859632823879012e-10,5.1376646683730534e-11,6.139781743148475e-11,1.7204187007478743e-11
sub-023,0,1.0349810994748462e-09,2.091110666920224e-10,5.960752694558399e-11,7.068801629062295e-11,1.3755567557903604e-11
sub-023,1,1.1066529875357375e-09,2.0395733793370257e-10,7.681703043100235e-11,5.60668073142636e-11,1.569775306595945e-11
sub-023,12,1.0350641909447058e-09,2.0900085217037667e-10,6.375295333827576e-11,6.78561525779397e-11,1.339331597659718e-11
sub-023,13,2.4097210040667108e-09,6.533332469481986e-10,2.204171907446377e-10,3.4923504270553594e-10,4.791446764791215e-11
sub-023,10,1.959352971931688e-09,2.5533304348119435e-10,8.870603409831111e-11,6.855656574813749e-11,1.907162620898313e-11
sub-023,11,1.0798510114527732e-08,2.6904016769270862e-09,9.35638859151911e-10,7.36114407091599e-10,8.053453180129745e-10
sub-023,5,1.0352974976838911e-09,1.965179060133441e-10,5.616835251222036e-11,7.059173813004439e-11,2.348158045113641e-11
sub-023,6,1.330122508606257e-09,4.0428662024618725e-10,1.3327986771091387e-10,1.0582313071801742e-10,2.8452289657142728e-11
sub-023,15,1.0434301151016907e-09,2.16000059025396e-10,6.239800667843729e-11,8.070816359190389e-11,2.5701156718440962e-11
sub-023,16,1.0206732445767166e-09,2.1096935422815003e-10,6.230629435120857e-11,8.862798067868981e-11,4.0053058204239664e-11
sub-023,17,1.0446390328979322e-09,2.2725167342680027e-10,7.721332743521411e-11,7.592609591964408e-11,1.5992432397253298e-11
sub-023,18,1.7374576244166784e-09,4.401050899381027e-10,1.5958798452417087e-10,1.8927105021807131e-10,2.8462750485302366e-11
sub-023,9,1.0238155911017091e-09,2.1122933685937728e-10,6.298412167186444e-11,6.948043217662689e-11,1.41105497734218e-11
sub-023,2,1.0177638391466827e-09,2.010226734110631e-10,5.509429416176602e-11,6.631523648438243e-11,1.2170067955670154e-11
sub-023,14,1.087967645739707e-09,2.0698924173228128e-10,6.037257700328788e-11,6.414170199307656e-11,1.3010990075686291e-11
sub-024,7,3.869066739652592e-10,6.433002924891732e-11,1.6711125197857308e-11,1.910079236556665e-11,6.336396561596045e-12
sub-024,8,4.02026265863632e-10,6.60378258707496e-11,1.5951818581616748e-11,1.5780385974425833e-11,3.8751840847744e-12
sub-024,3,2.8184193327027556e-10,4.979534303650721e-11,1.3941961264880091e-11,1.294373143462671e-11,2.2350357307753004e-12
sub-024,4,2.7713903186946516e-10,4.6949028143558066e-11,1.3000377820917931e-11,1.2110653388513931e-11,2.1321690502536844e-12
sub-024,0,2.5991774892507587e-10,3.533998186589611e-11,9.589218826264166e-12,9.857229765823279e-12,1.7680022889502e-12
sub-024,1,2.5534663319367914e-10,3.443250998628614e-11,9.483392321314e-12,9.810994299080724e-12,1.7524565686348834e-12
sub-024,12,2.6245153617539446e-10,3.786341721971492e-11,1.1268878103243571e-11,1.0465963750840535e-11,1.9439052932503706e-12
sub-024,13,2.6310584728706856e-10,3.8132009967191056e-11,1.0849636329159332e-11,1.0050244371436346e-11,1.830264221482592e-12
sub-024,10,2.665246970540761e-10,3.919726015556444e-11,1.2956498178371764e-11,1.2292171904071616e-11,3.103963815980721e-12
sub-024,11,2.683064567326621e-10,4.068217623459124e-11,1.3131199756589318e-11,1.2338620599590314e-11,3.168921499043427e-12
sub-024,5,3.284117851563797e-10,6.072689988138794e-11,1.590150054221142e-11,1.4069339934088232e-11,2.503768251899358e-12
sub-024,6,3.03037827659686e-10,5.525333113753938e-11,1.4467282715953735e-11,1.3509865489992608e-11,2.7609675622556145e-12
sub-024,15,2.9220265481245517e-10,5.612951761211829e-11,1.4458093515525344e-11,1.2663917302706945e-11,2.4454691652588416e-12
sub-024,16,2.7628611046264576e-10,4.9720943582180383e-11,1.2959827046220904e-11,1.2383357497940385e-11,2.7244573100383282e-12
sub-024,17,2.703555160323422e-10,4.7232383202871235e-11,1.3845390925368336e-11,1.2892306596157856e-11,2.860702975039392e-12
sub-024,18,2.6560766738053436e-10,4.664980462837076e-11,1.3103234558908249e-11,1.2349556589457603e-11,2.7689649583894653e-12
sub-024,9,2.7742357727657135e-10,4.851965820701947e-11,1.3362261127965612e-11,1.1565967122994269e-11,1.874613509607669e-12
sub-024,2,2.5461340984605616e-10,3.07445646393101e-11,9.296619652827571e-12,1.0204520155420554e-11,1.6591356865810614e-12
sub-024,14,2.6006425295990523e-10,3.444539266466602e-11,1.0225216759263305e-11,9.549107336398308e-12,1.8249165671385287e-12
sub-025,7,5.520892746589251e-10,4.5165658418553976e-11,2.0611926015312413e-11,2.1377281376971385e-11,1.1812256570371128e-11
sub-025,8,8.296865482642944e-10,4.707364514429988e-11,2.134946533429264e-11,1.9968739260014004e-11,1.052398769311254e-11
sub-025,3,3.428003285272157e-10,3.8920282555452273e-11,1.5775132023847184e-11,1.7119501431840962e-11,1.1682198822715722e-11
sub-025,4,3.6205094420844634e-10,4.149219975025827e-11,1.7135231369740953e-11,1.993070254376992e-11,1.4625942469859402e-11
sub-025,0,3.3953822511027465e-10,3.56231272571989e-11,1.0932369923485403e-11,1.358543178384719e-11,6.459354292942086e-12
sub-025,1,3.4012834202851657e-10,3.5888239643203466e-11,1.0995799363465332e-11,1.3240006539525804e-11,6.257474082105185e-12
sub-025,12,3.4403390045176045e-10,4.768501078961889e-11,3.2311379414698273e-11,1.5054356361900265e-11,5.4527904493073256e-12
sub-025,13,3.480562590315924e-10,5.2836319246433296e-11,4.1062060150330136e-11,1.6413989065577225e-11,6.351793160616159e-12
sub-025,10,3.628218229145334e-10,8.822959985268543e-11,9.759349315195631e-11,2.277471578163312e-11,8.644803264390499e-12
sub-025,11,3.678072753534196e-10,9.172102237579568e-11,1.0398189242283804e-10,2.3847344300844098e-11,8.684668596730925e-12
sub-025,5,3.5466943927351106e-10,3.9850429780805344e-11,1.6860304605214813e-11,5.5532229606837936e-11,6.052867592084239e-11
sub-025,6,3.586273910481308e-10,4.023000707058328e-11,1.6714008918359846e-11,4.4790757399431726e-11,4.0485013028767006e-11
sub-025,15,3.4976476588426354e-10,4.1093846860818695e-11,1.7940524989473226e-11,4.7179573917297835e-11,5.3997573503491755e-11
sub-025,16,3.5194164766754256e-10,4.2178022749911176e-11,1.8569254201968218e-11,3.494081649472337e-11,3.1802088824291296e-11
sub-025,17,3.486758796584442e-10,6.43308251088807e-11,5.338845616245823e-11,2.4508107555783707e-11,1.3177115918528216e-11
sub-025,18,3.4973745606243916e-10,7.277424646792552e-11,6.890890478151337e-11,2.3310701260566606e-11,1.0210985235022862e-11
sub-025,9,3.4063664134031435e-10,3.984847383797894e-11,1.7411433647239527e-11,1.3249097593426735e-11,4.1251711681896125e-12
sub-025,2,3.4005985351123086e-10,3.628911142651917e-11,1.1606923386648182e-11,1.167595849378008e-11,3.4273993997357988e-12
sub-025,14,3.4467996449805103e-10,4.531062083360347e-11,2.8934980823162708e-11,1.3679817201682456e-11,4.992206813047821e-12
sub-026,7,5.762260672149509e-10,8.399558166439466e-11,2.00368149683952e-11,4.118492177467368e-11,4.8366147687766845e-11
sub-026,8,7.139971955022454e-10,9.444549167776051e-11,2.0147591976979472e-11,4.066554046898416e-11,4.6631274039608565e-11
sub-026,3,2.8746206926643956e-10,4.0522245071217656e-11,1.1380008078549299e-11,3.578947155407373e-11,4.3898625813110186e-11
sub-026,4,3.0471526268093857e-10,4.168331313996825e-11,1.2387114551545544e-11,5.1920007913882625e-11,6.755259125748724e-11
sub-026,0,2.6530040742093514e-10,3.004374330423924e-11,9.213473292667648e-12,2.483303127317698e-11,2.8768045961780825e-11
sub-026,1,2.6545337933472635e-10,2.9963974590840105e-11,9.190784679051569e-12,2.4894553334709696e-11,2.9468725324090686e-11
sub-026,12,2.8471520641956406e-10,3.4329237821115425e-11,1.0484411959733056e-11,2.3102905812306108e-11,2.4843021264048373e-11
sub-026,13,2.8057427190330536e-10,3.5537980714058065e-11,1.0757844019099162e-11,2.4495916851609166e-11,2.7720910924327015e-11
sub-026,10,3.4432250154171047e-10,4.2709453064175885e-11,1.5155316827828017e-11,3.710564797557276e-11,4.267266881576304e-11
sub-026,11,4.174630030650488e-10,4.826758512965054e-11,1.6495253987766614e-11,3.893738342873335e-11,4.4456350872768495e-11
sub-026,5,3.390588867194859e-10,5.4471734848235086e-11,2.3078515084512205e-11,1.8215044863771927e-10,2.5348934317701987e-10
sub-026,6,4.02630064894933e-10,5.4449168672128736e-11,1.8128163974826897e-11,9.217530884665613e-11,1.4684241333304088e-10
sub-026,15,2.9453391338155344e-10,3.7589820332497677e-11,1.331027684705639e-11,6.036671361177529e-11,6.659321352237751e-11
sub-026,16,3.092394342426342e-10,3.9603024811411925e-11,1.3961914827636855e-11,6.7554428237192e-11,9.734359225412679e-11
sub-026,17,2.9413064423925256e-10,3.623782958653762e-11,1.1643032504366752e-11,3.303694612286549e-11,3.6126121089999085e-11
sub-026,18,2.9832911638735563e-10,4.615920903603446e-11,1.4205579329377309e-11,3.3695772246490335e-11,3.874892334779457e-11
sub-026,9,2.8074643952236006e-10,3.763726232977029e-11,1.056662657220419e-11,2.0777739129042397e-11,2.0477641254551704e-11
sub-026,2,2.6802817439171086e-10,3.087498295740705e-11,1.0328180370654192e-11,2.096288957612188e-11,2.0724779847601556e-11
sub-026,14,2.8228796367053195e-10,3.3810978411427526e-11,1.0522000597689131e-11,2.4285454581991345e-11,2.8052374679284903e-11
sub-027,7,1.7221024525994091e-09,9.845085047527462e-11,2.513136710869361e-11,4.317140579297135e-11,1.3460337260075757e-11
sub-027,8,7.59681769954569e-10,8.817778926318483e-11,2.1387608456645534e-11,2.817649581784532e-11,1.4012040715191156e-11
sub-027,3,6.082798796434657e-10,8.523336256775774e-11,1.836868482353452e-11,2.2529769100741908e-11,8.534422314822938e-12
sub-027,4,5.826077655245906e-10,7.929874497168869e-11,1.825458760807348e-11,2.4402091932513727e-11,1.3012012440678079e-11
sub-027,0,4.669943171222617e-10,4.83987187965002e-11,1.5479709792498294e-11,1.9909584226386788e-11,7.2215590238505845e-12
sub-027,1,4.733387033413227e-10,4.846205073040958e-11,1.6124161212697044e-11,1.99211958939453e-11,7.603122912061744e-12
sub-027,12,4.902996000136727e-10,5.6936758127306355e-11,1.785740734415622e-11,2.048835208601501e-11,7.073568256202821e-12
sub-027,13,5.088382772779039e-10,6.040246670882803e-11,1.7131262501550765e-11,1.86455777404654e-11,5.393816364000328e-12
sub-027,10,5.15239487180025e-10,6.885664377036224e-11,2.2739357925552367e-11,2.356270465472368e-11,7.523850912225032e-12
sub-027,11,5.44153021030279e-10,7.334967672530137e-11,2.2057970839080708e-11,2.294336014328692e-11,7.539801834758534e-12
sub-027,5,6.21846681379665e-10,7.937402474499178e-11,2.399205852668534e-11,3.75380662892166e-11,2.6326689567515128e-11
sub-027,6,6.425679550150607e-10,8.629934997664412e-11,2.2011237846544022e-11,4.154787402992714e-11,3.388885823161518e-11
sub-027,15,5.343577286881727e-10,6.51000766412003e-11,2.2590306917410203e-11,3.5693176658406816e-11,2.0718230388584565e-11
sub-027,16,3.3907986052570243e-09,4.671752740955981e-10,2.2130064849018572e-10,3.929981155603421e-10,2.9820868011486877e-10
sub-027,17,5.119750062306332e-10,6.123590771324851e-11,1.9594066156997625e-11,2.6196200673054632e-11,1.4236258304556163e-11
sub-027,18,5.273824618743877e-10,6.864976104722577e-11,2.0032371318465595e-11,2.2746169869339728e-11,9.102855078927212e-12
sub-027,9,6.257533516058475e-10,1.2248467050202757e-10,3.812745264668476e-11,3.163092620305942e-11,2.232934280044744e-11
sub-027,2,6.42403187414749e-10,6.647144757961544e-11,2.247886217845453e-11,2.854721194405651e-11,6.841838486699782e-12
sub-027,14,5.062538112943052e-10,5.988274067998171e-11,1.7604558172929794e-11,1.9394065610206418e-11,6.119613434882443e-12
sub-028,7,4.337043715547224e-10,5.856514772689616e-11,1.4671585466213443e-11,1.5736886819000482e-11,5.002919332766241e-12
sub-028,8,4.137646896537896e-10,5.572153945564967e-11,1.4307628916293245e-11,1.439432207818588e-11,3.5505599390405226e-12
sub-028,3,2.5926252326214003e-10,4.3992691501555126e-11,1.14721451829322e-11,1.1653498110476591e-11,2.3216604940815574e-12
sub-028,4,2.5711918652794365e-10,3.8870510396902365e-11,1.1263778505755192e-11,1.1756856215917242e-11,2.333218391518678e-12
sub-028,0,2.376570024082275e-10,3.0916448311725366e-11,8.529047308037474e-12,8.769739285544596e-12,1.5398727470374586e-12
sub-028,1,2.3869832761059907e-10,3.0997692821433434e-11,8.798238868688105e-12,9.543750625080428e-12,1.826781820081286e-12
sub-028,12,2.449465531725647e-10,3.4370687207508024e-11,1.0534688728047196e-11,1.0534743602937176e-11,2.018603286048068e-12
sub-028,13,2.4482956630389555e-10,3.217405899564792e-11,9.18653016785328e-12,9.617005728654756e-12,1.8280645276715506e-12
sub-028,10,2.5076189398711324e-10,3.5541801357386395e-11,1.1752966080254176e-11,1.1936004091334109e-11,3.079295941528098e-12
sub-028,11,2.4369269637528886e-10,3.2592901721495696e-11,1.0357856635626104e-11,1.0921155720808406e-11,2.753574193028252e-12
sub-028,5,2.769311921360856e-10,5.283784272301581e-11,1.316130875396582e-11,1.2791138562583162e-11,2.9675861466779107e-12
sub-028,6,2.804758648602638e-10,4.7344320668659314e-11,1.2860256813493212e-11,1.3237028389139895e-11,3.621786175512103e-12
sub-028,15,2.600668755207006e-10,4.869552883424079e-11,1.2549537663501012e-11,1.1984152342618456e-11,2.703211302957512e-12
sub-028,16,2.469726262856483e-10,3.844722470850949e-11,1.0715416679229319e-11,1.1252288575044636e-11,3.0624444823904333e-12
sub-028,17,2.4395587924723313e-10,3.8946825812230197e-11,1.144592706109398e-11,1.1637890139345083e-11,2.6623857781425734e-12
sub-028,18,2.43856969791073e-10,3.4650936101680875e-11,1.0505811634059112e-11,1.0734166291891186e-11,2.2744622896089496e-12
sub-028,9,2.613849728919949e-10,4.158041568245428e-11,1.1312450017484285e-11,1.0981391639160434e-11,1.9311579359758467e-12
sub-028,2,2.3807606180834456e-10,2.870016494335864e-11,8.892936579496687e-12,1.0252235620202143e-11,1.7114214674308786e-12
sub-028,14,2.3917458290803435e-10,2.959986884072658e-11,9.031351935995682e-12,9.377033522667624e-12,1.8365357371901168e-12
sub-029,7,7.896458935205825e-09,1.1918882762865156e-09,1.1507861622622863e-10,1.5517323300202222e-10,3.6262026301179956e-11
sub-029,8,6.794310977906844e-09,5.194091718516843e-10,1.4291464554247152e-10,1.1448591392687604e-10,2.4460679180153016e-11
sub-029,3,1.0177945145086905e-08,8.60070969830925e-10,2.3214891255466507e-10,1.3118503248120546e-10,2.3500966071633397e-11
sub-029,4,6.935635032534335e-09,5.531772340164944e-10,1.4714345162725026e-10,1.206306520354535e-10,2.5781766715036207e-11
sub-029,0,6.980511590218915e-09,5.54952051931204e-10,1.4641087886186959e-10,1.1374343826565978e-10,1.9697658879934828e-11
sub-029,1,6.923115239354141e-09,5.420308846465924e-10,1.436298833987109e-10,1.1302671255571367e-10,1.9866853590399956e-11
sub-029,12,6.897648669349479e-09,5.484610405014871e-10,1.4590324238822422e-10,1.1342005885466528e-10,1.9978917316371155e-11
sub-029,13,6.881126459294549e-09,5.418625013902801e-10,1.4468550947199518e-10,1.1312771702215117e-10,2.0042380614946288e-11
sub-029,10,6.894631847097522e-09,5.470322273491184e-10,1.4817346295456117e-10,1.1569740609002844e-10,2.1209519946831588e-11
sub-029,11,6.812832133812544e-09,5.288364209987598e-10,1.4649892714464503e-10,1.1399900933250379e-10,2.1888611437694114e-11
sub-029,5,8.574457425028272e-09,4.6019234183044184e-10,1.4049421641751e-10,1.272133571808596e-10,2.3301977851118105e-11
sub-029,6,1.2108689429610333e-08,1.7583503744262046e-09,5.798798001577751e-10,7.699121247519483e-10,7.598715893390457e-10
sub-029,15,6.964246090913394e-09,5.59640375405468e-10,1.4678832417283068e-10,1.1621676412754388e-10,2.1835096069602116e-11
sub-029,16,6.908777246985277e-09,5.561262297018052e-10,1.455895189769163e-10,1.1625569239067115e-10,2.1904957905037077e-11
sub-029,17,6.8624602824818085e-09,5.451076587110463e-10,1.457106026944687e-10,1.1294871917528132e-10,2.025378204737023e-11
sub-029,18,6.874597135156212e-09,5.42685220759352e-10,1.4561445049441728e-10,1.1340862497590703e-10,2.1010275413444384e-11
sub-029,9,6.932636928297319e-09,5.505659553814319e-10,1.4518238301211408e-10,1.1311178811505326e-10,1.9978950344066367e-11
sub-029,2,6.929895295108928e-09,5.429636017097893e-10,1.4552064590749583e-10,1.1513608970229503e-10,1.9830833144004568e-11
sub-029,14,6.966490835187089e-09,5.571295781400182e-10,1.470770093737818e-10,1.1564859557460009e-10,2.0082768714777464e-11
sub-030,7,1.132916099459078e-09,1.1848879415653487e-10,2.8093185487096296e-11,4.1415083337569005e-11,2.461353318698393e-11
sub-030,8,1.086020222937123e-09,1.0988359408843276e-10,2.579694288342305e-11,6.522666782805909e-11,4.090990007725141e-11
sub-030,3,6.314185517730287e-10,9.661835300513079e-11,2.1971423367245797e-11,1.808739754992959e-11,5.056174785822601e-12
sub-030,4,5.263640326787287e-10,8.033479247015237e-11,1.9606187540947463e-11,2.8112313938118568e-11,1.1020262443515545e-11
sub-030,0,4.2900081488982733e-10,5.131986198672479e-11,1.4902389933463163e-11,1.2836606787727354e-11,2.7410385161965617e-12
sub-030,1,4.1893648619463845e-10,5.0624867617516106e-11,1.4878382389726476e-11,1.2571271249538909e-11,2.750548978945284e-12
sub-030,12,4.365213347154295e-10,5.7157100309057656e-11,1.5898506815635283e-11,1.3378318093216426e-11,3.591125915228065e-12
sub-030,13,4.6399011693959653e-10,6.138728583127559e-11,1.8152514870532002e-11,1.8834703407633228e-11,8.787907103862222e-12
sub-030,10,4.782471272705291e-10,7.036142648239577e-11,2.1080701867150594e-11,2.690682345914079e-11,1.741610789267459e-11
sub-030,11,2.7427360339911993e-08,4.646059472455764e-09,2.058079979676286e-09,3.1119708333385243e-09,1.403662934848366e-09
sub-030,5,7.247661557625983e-10,1.1806719778311075e-10,3.0223089089993993e-11,2.160772118118461e-11,7.872609250896785e-12
sub-030,6,5.795116787073321e-10,9.608874936744351e-11,2.49140136361968e-11,2.4880533791985163e-11,1.3806574974586666e-11
sub-030,15,6.647616759921547e-10,1.0520418158665855e-10,2.580740454438045e-11,1.7391640651117294e-11,3.839786489926045e-12
sub-030,16,5.179049918355579e-10,7.769508493006175e-11,2.1321427840271576e-11,2.103146269210875e-11,1.1306381481635448e-11
sub-030,17,5.364078127207955e-10,8.216752531129183e-11,2.285205278909282e-11,1.783752261510696e-11,5.799591893202921e-12
sub-030,18,4.781697099135726e-10,6.508940214067164e-11,1.9327044459027863e-11,2.0605396214048893e-11,1.0205226938068006e-11
sub-030,9,9.481869995758595e-10,1.538332937181061e-10,3.5191261638951426e-11,4.0154785731668757e-11,1.0747486645826404e-11
sub-030,2,9.792884772450347e-10,7.264583981277986e-11,2.021785044790717e-11,2.6137803884527307e-11,9.788762675103187e-12
sub-030,14,5.708040442082855e-10,6.621296044941462e-11,1.7558465773367426e-11,1.7849429767633885e-11,7.094145124404909e-12
sub-031,7,9.661540032192451e-10,1.1404419861680486e-10,4.158721437593236e-11,5.656003077283136e-11,2.0592912274083838e-11
sub-031,8,9.897644084085123e-10,1.1610589261483375e-10,4.2090243378954036e-11,5.835938706891929e-11,2.120494461561032e-11
sub-031,3,9.230774552280525e-10,1.085752834108204e-10,3.8352778219831645e-11,5.088762173179664e-11,1.9551664759711908e-11
sub-031,4,9.716853161955323e-10,1.0917117262221526e-10,3.9052727501743546e-11,5.381835000495357e-11,1.9859580277066967e-11
sub-031,0,9.221822722204595e-10,1.0615354000391464e-10,3.6378491853408205e-11,4.930069358958682e-11,1.801890241614896e-11
sub-031,1,9.29815581826762e-10,1.073903020579998e-10,3.7351945743689497e-11,5.0224347605890913e-11,1.809566551663858e-11
sub-031,12,8.738317508276274e-10,1.0577910313122251e-10,4.1868693608081175e-11,4.8201339699298254e-11,1.576892620885484e-11
sub-031,13,9.296374050057924e-10,1.0892831905653015e-10,4.135129969095688e-11,4.9022302119779714e-11,1.4635859234567407e-11
sub-031,10,9.379471159892267e-10,1.2322654118835384e-10,5.790706859111548e-11,5.587584760164541e-11,1.7260218785080916e-11
sub-031,11,1.0228702529811472e-09,1.3137264039102738e-10,6.723179011011895e-11,5.5618929339707154e-11,1.7332316947872994e-11
sub-031,5,9.530125913741291e-10,1.1162043289379117e-10,4.012283627334693e-11,6.394148881238717e-11,2.7750009315385543e-11
sub-031,6,1.0670544717643231e-09,1.1694532549361554e-10,4.287395401563669e-11,6.310655644282758e-11,2.0789751050713498e-11
sub-031,15,9.410206451903376e-10,1.14272860706755e-10,4.211747163689056e-11,5.850060577462635e-11,2.341072441579738e-11
sub-031,16,9.291979081384647e-10,1.1020203467055549e-10,3.992211190316395e-11,6.382032137984699e-11,2.549511843625068e-11
sub-031,17,9.250676582073975e-10,1.2839069900499496e-10,5.887119864047074e-11,5.3906750510427645e-11,1.8245907833822858e-11
sub-031,18,9.625856030468963e-10,1.2420427221146408e-10,5.4342425288243816e-11,5.445490775238873e-11,1.7751960491173696e-11
sub-031,9,9.331862840246615e-10,1.1252454937246856e-10,4.0568251436300137e-11,5.20557147429976e-11,1.6897272479839224e-11
sub-031,2,9.32418712629513e-10,1.0882517596891814e-10,3.8155794471088376e-11,5.0865365660829855e-11,1.604130482576891e-11
sub-031,14,9.198572299536055e-10,1.0703681423470228e-10,4.285926265829131e-11,5.0704139712705583e-11,1.604160154625902e-11
sub-032,7,2.1307125048406803e-09,1.0901487054169662e-09,7.72896491512932e-10,1.2566500780022355e-09,3.995487316130234e-10
sub-032,8,2.059858550214375e-09,1.0919573064960667e-09,7.735294531516832e-10,1.2600484972936294e-09,4.01506411795084e-10
sub-032,3,1.917107114131349e-09,1.0674155049639092e-09,7.678596573649834e-10,1.2516534951562187e-09,3.966829651811991e-10
sub-032,4,1.915188422554091e-09,1.0699418145234003e-09,7.717021746686802e-10,1.252965242039263e-09,3.966401618834056e-10
sub-032,0,1.89481076467734e-09,1.054722499210965e-09,7.654794914290303e-10,1.2510784905874664e-09,3.9647295524732215e-10
sub-032,1,1.898895323993462e-09,1.057685169705961e-09,7.689377727714664e-10,1.251595212777498e-09,3.962008807764903e-10
sub-032,12,1.896500930844453e-09,1.0567332422437734e-09,7.664813826330265e-10,1.2514812316551731e-09,3.9664158736181465e-10
sub-032,13,1.9017823045218357e-09,1.06434264690863e-09,7.711184871038487e-10,1.2536588282235971e-09,3.967471337851792e-10
sub-032,10,1.908702005843594e-09,1.0715496574046855e-09,7.720539137851732e-10,1.255489843290752e-09,3.9726816774011685e-10
sub-032,11,1.9133405813648853e-09,1.0769262012744018e-09,7.797975642390542e-10,1.2592833332049094e-09,3.9734761618887237e-10
sub-032,5,1.9344983027341568e-09,1.0748424811945974e-09,7.705542214940392e-10,1.2556085921177512e-09,3.978770615875809e-10
sub-032,6,1.9780761746877107e-09,1.083513898829828e-09,7.742060101168726e-10,1.2568706231854176e-09,3.98233270865904e-10
sub-032,15,1.9105409070923923e-09,1.0696628562681595e-09,7.709575575366888e-10,1.2541812694348644e-09,3.9721146208560135e-10
sub-032,16,1.918830266468398e-09,1.0748095351616855e-09,7.725270877137883e-10,1.2537552006110494e-09,3.971601457019306e-10
sub-032,17,1.905918909410005e-09,1.0668067199150231e-09,7.696515477759876e-10,1.2541531434984663e-09,3.9727621319130997e-10
sub-032,18,1.915886151713738e-09,1.082201481128089e-09,7.791473281896673e-10,1.2591584748977927e-09,3.97569571009522e-10
sub-032,9,1.923149251366393e-09,1.0715102112878694e-09,7.710670264341616e-10,1.2516509908422564e-09,3.9634484139767933e-10
sub-032,2,1.9003967729148203e-09,1.054284384200128e-09,7.66968374660501e-10,1.2497326875882922e-09,3.9635772343441734e-10
sub-032,14,1.900102613422784e-09,1.059159706188116e-09,7.67146628372886e-10,1.250788525294792e-09,3.965220984810787e-10
sub-033,7,2.72964144552862e-10,3.2398114650504556e-11,1.476528288377793e-11,3.5644909078460384e-11,1.532401454621172e-11
